City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Description
262,Belmonte,-15.8631,-38.8828,70.7,86,27,scattered clouds
263,Taltal,-25.4,-70.4833,55.89,79,58,broken clouds
264,Krasnotorka,48.682,37.5327,86.36,31,83,broken clouds
265,Tura,25.5198,90.2201,86.76,61,9,clear sky
266,Ordynskoye,54.3656,81.8994,79.66,41,93,overcast clouds
267,Jeremie,18.65,-74.1167,79.52,82,2,clear sky
268,Tshela,-4.9833,12.9333,68.34,86,87,overcast clouds
269,Tiksi,71.6872,128.8694,51.3,69,100,overcast clouds
270,Quelimane,-17.8786,36.8883,72.7,73,1,clear sky
271,Kanye,-24.9667,25.3327,54.79,38,0,clear sky
272,Dourados,-22.2211,-54.8056,45.82,96,4,clear sky
273,Wah,33.798,72.6957,96.3,47,12,few clouds
274,Ayan,56.45,138.1667,55.85,94,100,overcast clouds
275,Dingzhou,38.5131,114.9956,88.0,64,50,scattered clouds
276,Faanui,-16.4833,-151.75,77.92,72,10,light rain
277,Kavaratti,10.5669,72.642,81.32,84,81,broken clouds
278,Borogontsy,62.6683,131.1683,74.3,48,93,overcast clouds
279,Klyuchi,52.2667,79.1667,74.86,56,95,overcast clouds
280,Bintulu,3.1667,113.0333,87.49,65,55,broken clouds
281,Anadyr,64.75,177.4833,70.3,56,0,clear sky
282,Atbasar,51.8,68.3333,76.33,49,34,scattered clouds
283,Omboue,-1.5746,9.2618,72.99,85,87,overcast clouds
284,Broome,42.2506,-75.833,64.78,83,0,clear sky
285,Rocha,-34.4833,-54.3333,43.86,91,91,overcast clouds
286,College,64.8569,-147.8028,61.07,62,20,few clouds
287,Vallenar,-28.5708,-70.7581,61.12,36,89,overcast clouds
288,Barra Patuca,15.8,-84.2833,79.32,87,63,broken clouds
289,Mnogovershinnyy,53.9353,139.9242,58.71,87,96,light rain
290,Charters Towers,-20.1,146.2667,75.58,41,0,clear sky
291,Nambour,-26.6333,152.95,67.1,68,85,overcast clouds
292,Mantua,45.1667,10.7833,77.99,70,36,scattered clouds
293,Vangaindrano,-23.35,47.6,69.78,69,44,scattered clouds
294,Linares,-35.85,-71.6,42.21,81,0,clear sky
295,Isangel,-19.55,169.2667,70.83,59,1,clear sky
296,Haines Junction,60.7522,-137.5108,47.08,94,99,overcast clouds
297,Kotturu,14.8167,76.2167,79.2,71,100,overcast clouds
298,Almoradi,38.1088,-0.792,79.81,67,0,clear sky
299,Ixtapa,20.7,-105.2,79.83,78,100,overcast clouds
300,Pervomaysk,48.0443,30.8507,70.02,71,83,broken clouds
301,Bilibino,68.0546,166.4372,72.9,51,53,light rain
302,Burnie,-41.0667,145.9167,51.94,90,100,light rain
303,Vila Franca Do Campo,37.7167,-25.4333,70.2,73,92,overcast clouds
304,Dakar,14.6937,-17.4441,79.68,74,96,overcast clouds
305,Cockburn Town,21.4612,-71.1419,81.45,74,65,broken clouds
306,Umm Kaddadah,13.6017,26.6876,80.01,67,89,overcast clouds
307,Deputatskiy,69.3,139.9,66.29,48,100,overcast clouds
308,Sergeyevka,53.88,67.4158,77.43,54,17,few clouds
309,Bunia,1.5667,30.25,65.07,91,100,light rain
310,Avera,33.194,-82.5271,71.65,77,99,overcast clouds
311,Nanortalik,60.1432,-45.2371,44.44,98,100,light rain
312,Kondinskoye,59.6481,67.41,74.1,42,35,scattered clouds
313,Mayahi,13.9553,7.6712,82.36,61,100,overcast clouds
314,Yulara,-25.2406,130.9889,64.18,21,67,broken clouds
315,Olinda,-8.0089,-34.8553,73.13,83,75,broken clouds
316,Vega De Alatorre,20.0333,-96.6333,77.83,82,74,broken clouds
317,Tabou,4.423,-7.3528,74.44,85,81,broken clouds
318,Calabozo,8.9242,-67.4293,70.75,97,68,broken clouds
319,Sal Rei,16.1833,-22.9167,77.04,80,68,broken clouds
320,Mehamn,71.0357,27.8492,53.55,87,100,moderate rain
321,Manado,1.487,124.8455,83.17,74,75,thunderstorm
322,Shimoda,34.6667,138.95,83.1,85,48,scattered clouds
323,Krasnogorskiy,54.6025,61.231,78.75,51,0,clear sky
324,Bhadra,29.1167,75.1667,95.27,45,45,scattered clouds
325,Katobu,-4.9408,122.5276,76.75,93,99,overcast clouds
326,Douglas,41.3,-96.167,75.31,78,0,clear sky
327,Maraba,-5.3686,-49.1178,77.18,94,20,few clouds
328,Alpena,45.0617,-83.4327,60.12,81,0,clear sky
329,Hailey,43.5196,-114.3153,63.81,63,99,overcast clouds
330,Lima,-12.0432,-77.0282,58.89,87,100,overcast clouds
331,Soyo,-6.1349,12.3689,69.89,87,87,overcast clouds
332,Cururupu,-1.8283,-44.8683,73.0,94,41,scattered clouds
333,Azangaro,-14.9167,-70.2167,39.6,77,6,clear sky
334,Davila,18.4726,120.5763,83.89,74,98,overcast clouds
335,Cayenne,4.9333,-52.3333,78.1,1,35,scattered clouds
336,Bentiu,9.2333,29.8333,72.46,97,100,light rain
337,Batagay-Alyta,67.8006,130.4114,73.29,41,84,broken clouds
338,Baindur,13.8667,74.6333,80.64,83,98,overcast clouds
339,Mount Gambier,-37.8333,140.7667,56.39,61,79,broken clouds
340,Sarwar,26.0667,75.0,88.2,62,84,broken clouds
341,Floro,61.5996,5.0328,59.23,100,75,light rain
342,Marrakesh,31.6315,-8.0083,68.07,73,0,clear sky
343,Kunming,25.0389,102.7183,75.97,63,73,broken clouds
344,Neijiang,29.5835,105.0622,96.44,46,54,broken clouds
345,Tuatapere,-46.1333,167.6833,39.36,81,18,few clouds
346,Catamarca,-28.4696,-65.7852,51.78,55,9,clear sky
347,Vanimo,-2.6741,141.3028,84.02,69,53,broken clouds
348,Thinadhoo,0.5333,72.9333,82.31,76,4,clear sky
349,Krapivinskiy,54.9992,86.8133,83.5,38,6,clear sky
